SUBJ,CRS #,SEC #,CALL #,SEM HRS,TITLE,DAYS,START TIME,END TIME,BLDG & ROOM #,FACULTY,REMARKS,SECTION TYPE,MODALITY,SESSION,SESS BEGIN,SESS END
AFAS,227,1,30029,1,USAF TEAM & LEADERSHIP FUND III,T,0800AM,0915AM,WYLT 1423,FIELD J,,,Face to face,,3/13/2024,5/24/2024
AFAS,257,1,30030,0,AFROTC LEADERSHIP LAB,TR,0300PM,0500PM,WYLT 1423,FIELD J,,,Face to face,,3/13/2024,5/24/2024
AFAS,333,1,30031,2,LEAD PEOPLE&EFFECTIVE COMM III,TR,1000AM,1230PM,WYLT 1411,FIELD J,,,Face to face,,3/13/2024,5/24/2024
AFAS,353,1,30032,1,AFROTC LEADERSHIP LAB,TR,0300PM,0500PM,WYLT 1423,FIELD J,,,Face to face,,3/13/2024,5/24/2024
AFAS,433,1,30033,2,NATL SECURITY&LEADRSHP RESP III,W,0200PM,0430PM,WYLT 1423,SPRYS J,,,Face to face,,3/13/2024,5/24/2024
AFAS,453,1,30034,1,AFROTC LEADERSHIP LAB,TR,0300PM,0500PM,WYLT 1423,FIELD J,,,Face to face,,3/13/2024,5/24/2024
AGSC,211,1,30039,2,GENERAL SHOP,R,0200PM,0500PM,REEH 115,KAVANAUGH N,,,Face to face,,3/13/2024,5/24/2024
AGSC,320,1,32570,3,STATISTICAL METHODS,MWF,0930AM,1045AM,REEH 219,YANG S,,,Face to face,,3/13/2024,5/24/2024
AGSC,411,1,32473,1,SEMINAR,TR,1200PM,0115PM,REEH 115,MURPHEY M,,,Face to face,,3/13/2024,5/24/2024
AGSC,478A,98,30041,1,COOP EDUCATION WORK EXPERIENCE,TBA,,,,KEYES C,,,Face to face,,3/13/2024,5/24/2024
AGSC,478B,1,30042,2,COOP EDUCATION WORK EXPERIENCE,TBA,,,,KEYES C,,,Face to face,,3/13/2024,5/24/2024
AGSC,478C,1,30043,3,COOP EDUCATION WORK EXPERIENCE,TBA,,,,KEYES C,,,Face to face,,3/13/2024,5/24/2024
AGSC,478C,98,30044,3,COOP EDUCATION WORK EXPERIENCE,TBA,,,,KEYES C,,,Face to face,,3/13/2024,5/24/2024
AGSC,478F,1,30045,6,COOP EDUCATION WORK EXPERIENCE,TBA,,,,KEYES C,,,Face to face,,3/13/2024,5/24/2024
AGSC,478F,98,30046,6,COOP EDUCATION WORK EXPERIENCE,TBA,,,,KEYES C,,,Face to face,,3/13/2024,5/24/2024
ANSC,204,1,32476,3,LIVESTOCK EVALUATION,MW,1100AM,1215PM,REEH 115,TAYLOR M,,,Face to face,,3/13/2024,5/24/2024
ANSC,225A,51,30054,1,SPECIAL PROBLEMS IN ANIMAL SCI,TBA,,,,MURPHEY M,,,Face to face,,3/13/2024,5/24/2024
ANSC,225B,1,32619,2,SHOWING & FITTING LIVESTOCK,TBA,,,,MURPHEY M,,,Face to face,,3/13/2024,5/24/2024
ANSC,225C,51,30059,3,SPECIAL PROBLEMS IN ANIMAL SCI,TBA,,,,MURPHEY M,,,Face to face,,3/13/2024,5/24/2024
ANSC,230,1,30060,2,THE ART AND SCIENCE OF BBQ,W,0200PM,0600PM,MTPP LAB,MURPHEY M,,,Face to face,,3/13/2024,5/24/2024
ANSC,301,1,32571,3,PRINCIPLES OF ANIMAL NUTRITION,TR,0800AM,0950AM,REEH 115,TAYLOR M,,,Face to face,,3/13/2024,5/24/2024
ANSC,409,1,30062,3,ANIMAL PATHOLOGY,TR,1000AM,1150AM,REEH 115,GREEN W,,,Face to face,,3/13/2024,5/24/2024
ANSC,414,1,30064,3,SWINE PRODUCTION,MW,0930AM,1045AM,REEH 115,MURPHEY M,,,Face to face,,3/13/2024,5/24/2024
ANSC,425A,51,30066,1,SPECIAL PROBLEMS ANIMAL SCIENCE,TBA,,,,MURPHEY M,,,Face to face,,3/13/2024,5/24/2024
ANSC,425B,51,30069,2,SPECIAL PROBLEMS ANIMAL SCIENCE,TBA,,,,MURPHEY M,,,Face to face,,3/13/2024,5/24/2024
ANSC,425C,51,30071,3,SPECIAL PROBLEMS ANIMAL SCIENCE,TBA,,,,MURPHEY M,,,Face to face,,3/13/2024,5/24/2024
ARCH,122,1,30073,2,COMMUNICATION SKILLS II,TR,0200PM,0500PM,WYLT 1309,WEBB K,,,Face to face,,3/13/2024,5/24/2024
ARCH,125,1,30074,3,FOUNDATION DESIGN II,MWF,0200PM,0455PM,WYLT 1329,WILLIAMS M,,,Face to face,,3/13/2024,5/24/2024
ARCH,134,1,30075,2,INTRODUCTION TO ARCHITECTURE,TR,1230PM,0145PM,,BEILMAN K,,,Face to face,,3/13/2024,5/24/2024
ARCH,135,1,30076,3,FOUNDATION DESIGN III,MWF,0800AM,1055AM,WYLT 1329,MOORE D,,,Face to face,,3/13/2024,5/24/2024
ARCH,135,2,30077,3,FOUNDATION DESIGN III,MWF,0800AM,1055AM,WYLT 1329,WILLIAMS M,,,Face to face,,3/13/2024,5/24/2024
ARCH,135,3,30078,3,FOUNDATION DESIGN III,MWF,0200PM,0455PM,,MALCHOW C,,,Face to face,,3/13/2024,5/24/2024
ARCH,233,1,30079,2,CONTEMPORARY ARCHITECTURAL HIST,TR,0200PM,0315PM,TVAC 103,CALDWELL D,,,Face to face,,3/13/2024,5/24/2024
ARCH,235,1,30080,4,CORE DESIGN III,MWF,0800AM,1150AM,HALE 201,BEILMAN K,,,Face to face,,3/13/2024,5/24/2024
ARCH,235,2,30081,4,CORE DESIGN III,MWF,0800AM,1150AM,HALE 201,MALCHOW C,,,Face to face,,3/13/2024,5/24/2024
ARCH,235,3,32479,4,CORE DESIGN III,MWF,0800AM,1150AM,HALE 201,BROOKS R,,,Face to face,,3/13/2024,5/24/2024
ARCH,335,1,30082,4,DESIGN/BUILD STUDIO,MWF,1100AM,0250PM,,DEAL T,,,Face to face,,3/13/2024,5/24/2024
ARCH,335,2,30083,4,DESIGN/BUILD STUDIO,MWF,1100AM,0250PM,,LE A,,,Face to face,,3/13/2024,5/24/2024
ARCH,335,3,30084,4,CORE DESIGN VI,MWF,0100PM,0450PM,HALE 201,DOSS W,,,Face to face,,3/13/2024,5/24/2024
ARCH,343,1,30085,3,STRUCTURAL SYSTEMS II,MW,0630PM,0820PM,GTMH 105,CARPENTER G,,,Face to face,,3/13/2024,5/24/2024
ARCH,353,1,30086,3,BUILDING SYSTEMS III,MWF,0930AM,1045AM,TVAC 103,CARWILE G,,,Face to face,,3/13/2024,5/24/2024
ARCH,402,1,32480,1,THE ARCHITECTURE OF LOS ANGELES,TBA,,,,DOSS W,,,Face to face,,3/13/2024,5/24/2024
ARCH,434,1,30088,2,CONTEMPORARY THEORY & CRITICISM,TR,0300PM,0415PM,HALE 318,DOSS W,,,Face to face,,3/13/2024,5/24/2024
ARCH,435,1,30089,4,COMPETITION STUDIO,MWF,0100PM,0450PM,HALE 301,DEPAOLA P,,,Face to face,,3/13/2024,5/24/2024
ARCH,435,2,30090,4,COMPETITION STUDIO,MWF,0100PM,0450PM,HALE 301,SINGH K,,,Face to face,,3/13/2024,5/24/2024
ARCH,445C,1,30092,3,COMMUNITY DESIGN ACTIVISM CENTER,TR,0200PM,0350PM,HALE 313,SINGH K,,,Face to face,,3/13/2024,5/24/2024
ARCH,453,1,30093,3,BUILDING SYSTEMS IV,TR,1000AM,1150AM,TVAC 103,CARWILE G,,,Face to face,,3/13/2024,5/24/2024
ARCH,502,1,32481,1,THE ARCHITECTURE OF LOS ANGELES,TBA,,,,CALDWELL D,,,Face to face,,3/13/2024,5/24/2024
ARCH,514,1,32482,3,PROFESSIONAL PRACTICE SEMINAR,TR,1200PM,0150PM,HALE 318,PULJAK K,,,Face to face,,3/13/2024,5/24/2024
ARCH,530,1,30094,5,COMPREHENSIVE DESIGN III,MWF,0100PM,0550PM,,CALDWELL D,,,Face to face,,3/13/2024,5/24/2024
ARCH,530,2,30095,5,COMPREHENSIVE DESIGN III,MWF,0100PM,0550PM,,WEBB K,,,Face to face,,3/13/2024,5/24/2024
ART,116,1,30098,3,COLOR DESIGN,TR,0800AM,1150AM,TVAC 110,CAUSEY W,,,Face to face,,3/13/2024,5/24/2024
ART,116,2,30099,3,COLOR DESIGN,MW,0200PM,0550PM,TVAC 110,MOORE D,,,Face to face,,3/13/2024,5/24/2024
ART,118,1,30100,3,3-D DESIGN,TR,0800AM,1150AM,AAWS 103,CASSADY B,,,Face to face,,3/13/2024,5/24/2024
ART,118,2,30101,3,3-D DESIGN,MW,0800AM,1150AM,AAWS 103,SLAUGHTER J,,,Face to face,,3/13/2024,5/24/2024
ART,125,1,30102,3,DRAWING,MW,0200PM,0550PM,TVAC 118,SHELL V,,,Face to face,,3/13/2024,5/24/2024
ART,126,1,30103,3,DRAWING,TR,0200PM,0550PM,TVAC 116,SHELL V,,,Not specified,,3/13/2024,5/24/2024
ART,130,1,30104,3,INTRODUCTION TO MATERIALS,MW,0200PM,0550PM,AAWS 103,SLAUGHTER J,,,Face to face,,3/13/2024,5/24/2024
ART,160,1,30105,3,INTRODUCTION TO GRAPHIC DESIGN,TR,0800AM,1150AM,TVAC 115,DUGARD J,,,Face to face,,3/13/2024,5/24/2024
ART,160,2,30106,3,INTRODUCTION TO GRAPHIC DESIGN,TR,0200PM,0550PM,TVAC 115,DUGARD J,,,Face to face,,3/13/2024,5/24/2024
ART,171,1,30108,3,INTRO TO DIGITAL PHOTOGRAPHY,MW,0800AM,1150AM,TVAC 106,WOLFE P,,,Face to face,,3/13/2024,5/24/2024
ART,230,1,30109,3,ILLUS MATERIALS AND TECHNIQUES,TR,0200PM,0550PM,TVAC 110,DUET N,,,Face to face,,3/13/2024,5/24/2024
ART,241,1,30110,3,WHEEL THROWING,MW,0800AM,1150AM,AAWS 114,CASSADY B,,,Face to face,,3/13/2024,5/24/2024
ART,264,1,32484,3,HISTORY OF GRAPHIC DESIGN,TR,1200PM,0150PM,TVAC B22,SPRINGER M,,,Face to face,,3/13/2024,5/24/2024
ART,283,1,30112,3,DESIGN PRODUCTION,MW,0800AM,1150AM,TVAC 119,MAGGIO M,,,Face to face,,3/13/2024,5/24/2024
ART,283,2,30113,3,DESIGN PRODUCTION,MW,0200PM,0550PM,TVAC 119,MAGGIO M,,,Face to face,,3/13/2024,5/24/2024
ART,302,99,30132,3,STUDIO ART INTERNSHIP,TBA,,,,DUET N,,,Face to face,,3/13/2024,5/24/2024
ART,303,1,30133,3,PRAC IN SCIENTIFIC VISUALIZATION,TBA,,,,BUSTAMANTE N,,,Face to face,,3/13/2024,5/24/2024
ART,310,1,30134,3,DIGITAL PAINTING,MWF,0800AM,1050AM,UNVH 121,WAKEFIELD S,,,Face to face,,3/13/2024,5/24/2024
ART,318,1,30135,3,CONCEPTUAL ART AND THEORY,MW,0800AM,1150AM,TVAC 118,CAUSEY W,,,Face to face,,3/13/2024,5/24/2024
ART,347,1,30136,3,CERAMICS,MW,0800AM,1150AM,AAWS 103,CASSADY B,,,Face to face,,3/13/2024,5/24/2024
ART,364,1,30137,3,INFORMATION DESIGN,TR,0800AM,1150AM,TVAC B22,FUTRELL T,,,Face to face,,3/13/2024,5/24/2024
ART,364,2,32483,3,INFORMATION DESIGN,TR,0200PM,0550PM,TVAC B22,FUTRELL T,,,Face to face,,3/13/2024,5/24/2024
ART,366,1,30138,3,EXPLORATIONS IN DESIGN,MW,0200PM,0550PM,TVAC 115,DUGARD J,,,Face to face,,3/13/2024,5/24/2024
ART,371,1,30139,3,BOOK ARTS LETTERPRESS,MW,0200PM,0550PM,TVAC 109,HAMRICK J,,,Face to face,,3/13/2024,5/24/2024
ART,390,1,30140,3,SCULPTURE,TR,0200PM,0550PM,,SLAUGHTER J,,,Face to face,,3/13/2024,5/24/2024
ART,399,1,30141,3,STUDIO PORTFOLIO I,TR,0800AM,1150AM,TVAC 111,BUSTAMANTE N,,,Face to face,,3/13/2024,5/24/2024
ART,403,1,30142,3,SENIOR EXHIBITION,TR,0800AM,1150AM,TVAC 109,HAMRICK J,,,Face to face,,3/13/2024,5/24/2024
ART,415,1,30143,3,DIRECTED STUDIES,TBA,,,TVAC 103A,FUTRELL T,,,Face to face,,3/13/2024,5/24/2024
ART,415,2,30144,3,DIRECTED STUDIES,,,,,BUSTAMANTE N,,,Face to face,,3/13/2024,5/24/2024
ART,415,3,30145,3,DIRECTED STUDIES,TBA,,,,DUET N,,,Face to face,,3/13/2024,5/24/2024
ART,427,1,30146,3,ADVANCED DRAWING,TR,0200PM,0550PM,TVAC 118,CAUSEY W,,,Face to face,,3/13/2024,5/24/2024
ART,440,1,30147,3,STUDIO PROBLEMS-ADVANCED CRAFTS,MW,0800AM,1150AM,AAWS 103,CASSADY B,,,Face to face,,3/13/2024,5/24/2024
ART,450,1,30148,3,SENIOR PHOTOGRAPHY PORTFOLIO,TBA,,,,HAMRICK J,XLS ART 371,,Face to face,,3/13/2024,5/24/2024
ART,482,1,30149,3,SENIOR CAPSTONE,TR,0200PM,0550PM,TVAC 106,BERG J,,,Face to face,,3/13/2024,5/24/2024
ART,490,1,30150,3,SCULPTURE,TR,0200PM,0550PM,,SLAUGHTER J,,,Face to face,,3/13/2024,5/24/2024
ART,495,1,30151,1,SCIENTIFIC PORTFOLIO,TBA,,,,BUSTAMANTE N,,,Face to face,,3/13/2024,5/24/2024
ART,499,1,30152,3,SEM IN ART HIST-AMER LANDSCAPE,MW,1200PM,0150PM,TVAC B22,SPRINGER M,,,Face to face,,3/13/2024,5/24/2024
ART,512,1,30153,3,GRADUATE DESIGN,TR,0800AM,1150AM,TVAC 104,DUET N,,,Face to face,,3/13/2024,5/24/2024
ART,514,1,30154,3,MASTER'S PROJECT,TBA,,,,CAUSEY W,,,Face to face,,3/13/2024,5/24/2024
ART,522,1,30156,3,ADVANCED STUDIO PROBLEMS,TR,0800AM,1150AM,,DUET N,,,Face to face,,3/13/2024,5/24/2024
ART,540,1,30157,3,ADVANCED CRAFTS,TBA,,,,SLAUGHTER J,,,Face to face,,3/13/2024,5/24/2024
ART,541,1,30158,3,ADVANCED CRAFTS,TBA,,,,CASSADY B,,,Face to face,,3/13/2024,5/24/2024
ART,550,1,30159,3,PHOTOGRAPHIC PROJECTS,MW,0200PM,0550PM,,HAMRICK J,,,Face to face,,3/13/2024,5/24/2024
ART,564,51,30160,1,GRADUATE SEMINAR,T,0630PM,0830PM,TVAC 111,HAMRICK J,,,Face to face,,3/13/2024,5/24/2024
ART,566,1,30161,3,SEMINAR IN ART HISTORY,MW,1200PM,0150PM,TVAC B22,SPRINGER M,,,Face to face,,3/13/2024,5/24/2024
ART,567,1,30162,3,STUDIO EXHIBITION&CAPSTONE RES,TR,0800AM,1150AM,,DUET N,,,Face to face,,3/13/2024,5/24/2024
ART,571,1,30163,3,PHOTOGRAPHIC SEMINAR,MW,0200PM,0550PM,,HAMRICK J,,,Face to face,,3/13/2024,5/24/2024
ART,573,1,30164,3,PHOTO EXHIBITION&CAPSTONE RES,TR,0800AM,1150AM,,DUET N,,,Face to face,,3/13/2024,5/24/2024
ART,574,1,30165,3,DIR PROJ GRAPHIC DES & DIG IMAG,TBA,,,,FUTRELL T,,,Face to face,,3/13/2024,5/24/2024
ART,575,1,30166,3,DIR PROJ GRAPHIC DES & DIG IMAG,TBA,,,,MAGGIO M,,,Face to face,,3/13/2024,5/24/2024
ART,576,1,30167,3,DIR PROJ GRAPHIC DES & DIG IMAG,TBA,,,,DUGARD J,,,Face to face,,3/13/2024,5/24/2024
ART,578,1,30168,3,DIR RES GRAPHIC DES & DIG IMAG,TBA,,,TVAC B23,BERG J,,,Face to face,,3/13/2024,5/24/2024
ART,579,1,30169,3,GRAD SEM IN GRAPHIC DES EDUC,TBA,,,,FUTRELL T,,,Face to face,,3/13/2024,5/24/2024
ART,580,1,30170,3,GRAPHIC DES EXHIB & CAPSTONE RES,TR,0800AM,0550PM,,DUET N,,,Face to face,,3/13/2024,5/24/2024
ART,599,1,30171,3,GRAD SEM IN ART HISTORY,MW,1200PM,0150PM,TVAC B22,SPRINGER M,,,Face to face,,3/13/2024,5/24/2024
BIEN,203,1,30172,2,BIOMED PRINCIPLES II,TR,1000AM,1150AM,BMEB 157,CASTAGNOLA E,,,Face to face,,3/13/2024,5/24/2024
BIEN,401,1,30173,3,BIOMED MASS TRANSPORT,MWF,0800AM,0915AM,BMEB 154,REIS L,,,Face to face,,3/13/2024,5/24/2024
BIEN,425,1,30174,3,ADV BIOMED INSTRUMENT SYSTEMS,TR,1200PM,0115PM,BMEB 154,JONES S,,,Face to face,,3/13/2024,5/24/2024
BIEN,492,1,30177,2,MEDICAL DEVICE DESIGN III,T,0200PM,0500PM,BMEB 154,HOLLINS B,,,Face to face,,3/13/2024,5/24/2024
BIEN,501,1,30178,4,PHYSIOLOGICAL MODELING I,MWF,0800AM,0915AM,,REIS L,,,Face to face,,3/13/2024,5/24/2024
BIEN,511,1,30179,1,BIOMEDICAL ENGINEERING SEMINAR,TBA,,,,JONES S,,,Face to face,,3/13/2024,5/24/2024
BIEN,551C,1,30180,3,MSE THESIS IN BIOMEDICAL ENGR,,,,,JONES S,,,Face to face,,3/13/2024,5/24/2024
BIEN,551F,1,30181,6,MSE THESIS IN BIOMEDICAL ENGR,,,,,JONES S,,,Face to face,,3/13/2024,5/24/2024
BIEN,555,1,30182,3,PRACTICUM,TBA,,,,JONES S,,,Face to face,,3/13/2024,5/24/2024
BIEN,611,1,30184,1,BIEN DISSERTATION ENHNCMNT SEM,TBA,,,,JONES S,,,Face to face,,3/13/2024,5/24/2024
BIEN,651C,1,30185,3,PRE-CANDIDACY DOCTORAL RESEARCH,TBA,,,,JONES S,,,Face to face,,3/13/2024,5/24/2024
BIEN,651E,1,30186,5,PRE-CANDIDACY DOCTORAL RESEARCH,TBA,,,,JONES S,,,Face to face,,3/13/2024,5/24/2024
BIEN,651F,1,30187,6,PRE-CANDIDACY DOCTORAL RESEARCH,TBA,,,,JONES S,,,Face to face,,3/13/2024,5/24/2024
BIEN,686,1,30188,0,ORAL COMPREHENSIVE EXAM,TBA,,,,JONES S,,,Face to face,,3/13/2024,5/24/2024
BIEN,751C,1,30189,3,POST-CANDIDACY DISSERTATION RES,TBA,,,,JONES S,,,Face to face,,3/13/2024,5/24/2024
BIEN,751F,1,30190,6,POST-CANDIDACY DISSERTATION RES,TBA,,,,JONES S,,,Face to face,,3/13/2024,5/24/2024
BISC,101,1,30191,3,FUNDAMENTALS OF BIOLOGY I,MWF,0800AM,0915AM,AHCL 162,GOERTZ J,,,Face to face,,3/13/2024,5/24/2024
BISC,102,1,30198,3,FUNDAMENTALS OF BIOLOGY II,MWF,1100AM,1215PM,AHCL 161,GOERTZ J,,,Face to face,,3/13/2024,5/24/2024
BISC,130,1,30205,3,BIOLOGICAL PRINCIPLES,MWF,0930AM,1045AM,AHCL 161,KEMEGE K,,,Face to face,,3/13/2024,5/24/2024
BISC,131,1,30207,1,BIOLOGICAL PRINCIPLES LAB,M,1200PM,0300PM,CTLH 238,HODNETT R,,,Face to face,,3/13/2024,5/24/2024
BISC,131,2,30208,1,BIOLOGICAL PRINCIPLES LAB,T,0330PM,0630PM,CTLH 238,HODNETT R,,,Face to face,,3/13/2024,5/24/2024
BISC,131,3,30209,1,BIOLOGICAL PRINCIPLES LAB,W,1200PM,0300PM,CTLH 238,HODNETT R,,,Face to face,,3/13/2024,5/24/2024
BISC,131,4,30210,1,BIOLOGICAL PRINCIPLES LAB,W,0330PM,0630PM,CTLH 238,HODNETT R,,,Face to face,,3/13/2024,5/24/2024
BISC,131,5,30211,1,BIOLOGICAL PRINCIPLES LAB,T,1200PM,0300PM,CTLH 238,HODNETT R,,,Face to face,,3/13/2024,5/24/2024
BISC,131,6,30212,1,BIOLOGICAL PRINCIPLES LAB,R,0330PM,0630PM,CTLH 238,HODNETT R,,,Face to face,,3/13/2024,5/24/2024
BISC,131,7,30213,1,BIOLOGICAL PRINCIPLES LAB,R,1200PM,0300PM,CTLH 238,HODNETT R,,,Face to face,,3/13/2024,5/24/2024
BISC,132,1,30216,3,BIOLOGICAL DIVERSITY,MWF,1230PM,0145PM,AHCL 161,KEMEGE K,,,Face to face,,3/13/2024,5/24/2024
BISC,133,1,30218,1,BIOLOGICAL DIVERSITY LAB,T,0800AM,1100AM,CTLH 240,HODNETT R,,,Face to face,,3/13/2024,5/24/2024
BISC,133,2,30219,1,BIOLOGICAL DIVERSITY LAB,T,1200PM,0300PM,CTLH 240,HODNETT R,,,Face to face,,3/13/2024,5/24/2024
BISC,133,3,30220,1,BIOLOGICAL DIVERSITY LAB,W,0200PM,0500PM,CTLH 240,HODNETT R,,,Face to face,,3/13/2024,5/24/2024
BISC,133,4,30221,1,BIOLOGICAL DIVERSITY LAB,R,0800AM,1100AM,CTLH 240,HODNETT R,,,Face to face,,3/13/2024,5/24/2024
BISC,133,5,30222,1,BIOLOGICAL DIVERSITY LAB,R,1200PM,0300PM,CTLH 240,HODNETT R,,,Face to face,,3/13/2024,5/24/2024
BISC,133,6,30223,1,BIOLOGICAL DIVERSITY LAB,M,0200PM,0500PM,CTLH 240,HODNETT R,,,Face to face,,3/13/2024,5/24/2024
BISC,133,7,30224,1,BIOLOGICAL DIVERSITY LAB,M,0800AM,1100AM,CTLH 240,HODNETT R,,,Face to face,,3/13/2024,5/24/2024
BISC,200,1,30225,3,PRINCIPLES OF GENETICS,MWF,1100AM,1215PM,CTLH 344,WHITE J,,,Face to face,,3/13/2024,5/24/2024
BISC,208,1,30226,3,SURVEY OF MICROBIOLOGY,MWF,1100AM,1215PM,UNVH 134,GIORNO-MCCONNEL,,,Face to face,,3/13/2024,5/24/2024
BISC,209,1,30227,1,SURVEY OF MICROBIOLOGY LAB,MW,0100PM,0300PM,CTLH 101,KEMEGE J,,,Face to face,,3/13/2024,5/24/2024
BISC,209,2,30228,1,SURVEY OF MICROBIOLOGY LAB,TR,0900AM,1100AM,CTLH 101,KEMEGE J,,,Face to face,,3/13/2024,5/24/2024
BISC,209,3,32338,1,SURVEY OF MICROBIOLOGY LAB,TR,0200PM,0400PM,CTLH 101,KEMEGE J,,,Face to face,,3/13/2024,5/24/2024
BISC,216,1,30229,3,PLANT BIOLOGY,TR,1000AM,1150AM,CTLH 344,WHITE J,,,Face to face,,3/13/2024,5/24/2024
BISC,217,1,30230,1,PLANT BIOLOGY LABORATORY,R,0115PM,0415PM,CTLH 228,WHITE J,,,Face to face,,3/13/2024,5/24/2024
BISC,224,1,30231,3,ESSENTIALS OF HUM ANAT & PHYSIO,MWF,0930AM,1045AM,AHCL 162,SHEEHAN D,,,Face to face,,3/13/2024,5/24/2024
BISC,225,1,30251,3,HUMAN ANATOMY AND PHYSIOLOGY I,MWF,0800AM,0915AM,DAVH 113,STAKE J,,,Face to face,,3/13/2024,5/24/2024
BISC,226,1,30253,1,HUMAN ANATOMY & PHYSIOLOGY LAB I,T,0800AM,1100AM,CTLH 226,SHEEHAN D,,,Face to face,,3/13/2024,5/24/2024
BISC,226,2,30254,1,HUMAN ANATOMY & PHYSIOLOGY LAB I,T,0100PM,0400PM,CTLH 226,SHEEHAN D,,,Face to face,,3/13/2024,5/24/2024
BISC,226,3,30255,1,HUMAN ANATOMY & PHYSIOLOGY LAB I,W,0100PM,0400PM,CTLH 226,GOERTZ J,,,Face to face,,3/13/2024,5/24/2024
BISC,226,4,30256,1,HUMAN ANATOMY & PHYSIOLOGY LAB I,R,0800AM,1100AM,CTLH 226,GOERTZ J,,,Face to face,,3/13/2024,5/24/2024
BISC,226,5,32339,1,HUMAN ANATOMY & PHYSIOLOGY LAB I,R,0100PM,0400PM,CTLH 226,GOERTZ J,,,Face to face,,3/13/2024,5/24/2024
